index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1985-09-20,536.5,19860900,536.5,19861100
1985-09-23,551.0,19860900,551.5,19861100
1985-09-24,552.0,19860900,552.5,19861100
1985-09-25,550.5,19860900,551.0,19861100
1985-09-26,549.0,19860900,548.0,19861100
1985-09-27,547.5,19860900,546.75,19861100
1985-09-30,545.5,19860900,545.5,19861100
1985-10-01,546.5,19860900,546.5,19861100
1985-10-02,543.0,19860900,543.25,19861100
1985-10-03,543.5,19860900,543.25,19861100
1985-10-04,542.0,19860900,543.25,19861100
1985-10-07,537.0,19860900,538.0,19861100
1985-10-08,537.0,19860900,537.5,19861100
1985-10-09,537.0,19860900,534.0,19861100
1985-10-10,536.5,19860900,533.0,19861100
1985-10-11,533.0,19860900,529.0,19861100
1985-10-14,533.0,19860900,531.0,19861100
1985-10-15,535.5,19860900,533.0,19861100
1985-10-16,533.5,19860900,531.75,19861100
1985-10-17,538.0,19860900,536.5,19861100
1985-10-18,538.5,19860900,537.5,19861100
1985-10-21,538.5,19860900,537.0,19861100
1985-10-22,537.5,19860900,535.75,19861100
1985-10-23,534.0,19860900,532.5,19861100
1985-10-24,531.0,19860900,528.75,19861100
1985-10-25,531.0,19860900,529.0,19861100
1985-10-28,531.0,19860900,529.0,19861100
1985-10-29,533.5,19860900,531.0,19861100
1985-10-30,533.5,19860900,531.25,19861100
1985-10-31,538.0,19860900,535.25,19861100
1985-11-01,537.0,19860900,533.0,19861100
1985-11-04,537.0,19860900,532.0,19861100
1985-11-05,540.0,19860900,535.5,19861100
1985-11-06,538.0,19860900,534.75,19861100
1985-11-07,535.0,19860900,531.75,19861100
1985-11-08,535.5,19860900,531.75,19861100
1985-11-11,533.0,19860900,528.5,19861100
1985-11-12,532.0,19860900,528.75,19861100
1985-11-13,526.5,19860900,523.75,19861100
1985-11-14,523.0,19860900,519.75,19861100
1985-11-15,514.0,19860900,512.75,19861100
1985-11-18,502.0,19860900,500.0,19861100
1985-11-19,508.0,19860900,507.0,19861100
1985-11-20,504.0,19860900,504.75,19861100
1985-11-21,503.0,19860900,505.0,19861100
1985-11-22,507.0,19860900,509.25,19861100
1985-11-25,502.5,19860900,505.5,19861100
1985-11-26,506.0,19860900,507.25,19861100
1985-11-27,506.0,19860900,507.75,19861100
1985-11-29,508.5,19860900,509.5,19861100
1985-12-02,506.0,19860900,507.25,19861100
1985-12-03,512.75,19860900,512.0,19861100
1985-12-04,515.0,19860900,514.5,19861100
1985-12-05,513.0,19860900,512.0,19861100
1985-12-06,511.0,19860900,509.75,19861100
1985-12-09,510.0,19860900,508.0,19861100
1985-12-10,519.5,19860900,516.0,19861100
1985-12-11,517.0,19860900,516.25,19861100
