index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1970-02-03,9.8,19700300,9.58,19700500
1970-02-04,9.74,19700300,9.46,19700500
1970-02-05,10.15,19700300,9.69,19700500
1970-02-06,10.2,19700300,9.68,19700500
1970-02-09,10.27,19700300,9.74,19700500
1970-02-10,10.49,19700300,9.84,19700500
1970-02-11,10.84,19700300,9.99,19700500
1970-02-12,10.86,19700300,9.95,19700500
1970-02-13,10.96,19700300,9.96,19700500
1970-02-16,11.16,19700300,10.19,19700500
1970-02-17,11.25,19700300,10.25,19700500
1970-02-18,11.3,19700300,10.39,19700500
1970-02-19,11.37,19700300,10.4,19700500
1970-02-20,11.53,19700300,10.53,19700500
1970-02-24,12.01,19700300,10.74,19700500
1970-02-25,11.7,19700300,10.49,19700500
1970-02-26,11.43,19700300,10.26,19700500
1970-02-27,11.8,19700300,10.51,19700500
1970-03-02,12.8,19700300,11.02,19700500
1970-03-03,13.1,19700300,10.99,19700500
1970-03-04,12.35,19700300,10.63,19700500
1970-03-05,12.4,19700300,10.83,19700500
1970-03-06,12.2,19700300,10.59,19700500
1970-03-09,11.22,19700300,9.97,19700500
1970-03-10,11.1,19700300,9.79,19700500
1970-03-11,11.35,19700300,10.07,19700500
1970-03-12,11.75,19700300,10.28,19700500
1970-03-13,12.2,19700300,10.33,19700500
1970-03-16,11.9,19700300,10.09,19700500
1970-03-17,12.2,19700300,10.35,19700500
1970-03-18,12.65,19700300,10.78,19700500
1970-03-19,12.3,19700300,10.4,19700500
1970-03-20,,19700300,10.52,19700500
1970-03-23,,19700300,10.47,19700500
1970-03-24,,19700300,10.21,19700500
1970-03-25,,19700300,10.5,19700500
1970-03-26,,19700300,10.33,19700500
1970-03-30,,19700300,10.48,19700500
1970-03-31,,19700300,10.51,19700500
1970-04-01,,19700300,10.82,19700500
1970-04-02,,19700300,10.65,19700500
1970-04-03,10.93,19700500,10.49,19700700
1970-04-06,11.22,19700500,10.7,19700700
1970-04-07,11.06,19700500,10.55,19700700
1970-04-08,11.38,19700500,10.79,19700700
1970-04-09,11.43,19700500,10.74,19700700
1970-04-10,11.9,19700500,11.09,19700700
1970-04-13,12.46,19700500,11.47,19700700
1970-04-14,12.23,19700500,11.27,19700700
1970-04-15,11.82,19700500,11.13,19700700
1970-04-16,12.6,19700500,11.73,19700700
1970-04-17,12.44,19700500,11.7,19700700
1970-04-20,12.25,19700500,11.69,19700700
1970-04-21,12.3,19700500,11.82,19700700
1970-04-22,11.86,19700500,11.42,19700700
1970-04-23,12.08,19700500,11.63,19700700
1970-04-24,12.0,19700500,11.56,19700700
1970-04-27,11.42,19700500,11.11,19700700
1970-04-28,11.39,19700500,11.09,19700700
1970-04-29,11.26,19700500,10.98,19700700
1970-04-30,11.66,19700500,11.32,19700700
1970-05-01,11.56,19700500,11.26,19700700
1970-05-04,11.57,19700500,11.14,19700700
1970-05-05,11.05,19700700,10.71,19700800
1970-05-06,10.7,19700700,10.46,19700800
1970-05-07,10.86,19700700,10.65,19700800
1970-05-08,10.85,19700700,10.67,19700800
1970-05-11,10.83,19700700,10.63,19700800
1970-05-12,10.68,19700700,10.47,19700800
1970-05-13,10.32,19700700,10.11,19700800
1970-05-14,10.46,19700700,10.27,19700800
1970-05-15,10.74,19700700,10.52,19700800
1970-05-18,10.52,19700700,10.25,19700800
1970-05-19,10.58,19700700,10.36,19700800
1970-05-20,10.81,19700700,10.62,19700800
1970-05-21,11.25,19700700,10.96,19700800
1970-05-22,11.4,19700700,11.06,19700800
1970-05-25,11.27,19700700,10.91,19700800
1970-05-26,11.13,19700700,10.75,19700800
1970-05-27,11.31,19700700,10.99,19700800
1970-05-28,11.14,19700700,10.82,19700800
1970-06-01,10.87,19700700,10.59,19700800
1970-06-02,10.65,19700700,10.49,19700800
1970-06-03,10.52,19700800,10.27,19700900
1970-06-04,10.6,19700800,10.34,19700900
1970-06-05,10.56,19700800,10.32,19700900
1970-06-08,10.89,19700800,10.72,19700900
1970-06-09,10.72,19700800,10.51,19700900
1970-06-10,10.97,19700800,10.78,19700900
1970-06-11,10.89,19700800,10.69,19700900
1970-06-12,11.02,19700800,10.8,19700900
1970-06-15,10.99,19700800,10.79,19700900
1970-06-16,10.76,19700800,10.56,19700900
1970-06-17,10.89,19700800,10.68,19700900
1970-06-18,10.72,19700800,10.57,19700900
1970-06-19,10.9,19700800,10.84,19700900
1970-06-22,10.8,19700800,10.71,19700900
1970-06-23,10.94,19700800,10.79,19700900
1970-06-24,10.56,19700800,10.38,19700900
1970-06-25,10.51,19700800,10.37,19700900
1970-06-26,10.27,19700800,10.12,19700900
1970-06-29,10.38,19700800,10.2,19700900
1970-06-30,10.38,19700800,10.17,19700900
1970-07-01,10.48,19700800,10.24,19700900
1970-07-02,10.46,19700800,10.28,19700900
1970-07-06,10.2,19700800,9.99,19700900
1970-07-07,10.04,19700900,9.82,19701000
1970-07-08,10.31,19700900,10.1,19701000
1970-07-09,10.14,19700900,9.94,19701000
1970-07-10,10.21,19700900,10.04,19701000
1970-07-13,10.53,19700900,10.34,19701000
1970-07-14,10.38,19700900,10.15,19701000
1970-07-15,10.46,19700900,10.27,19701000
1970-07-16,10.57,19700900,10.4,19701000
1970-07-17,10.73,19700900,10.63,19701000
1970-07-20,11.07,19700900,10.89,19701000
1970-07-21,11.1,19700900,10.8,19701000
1970-07-22,11.15,19700900,10.81,19701000
1970-07-23,11.14,19700900,10.85,19701000
1970-07-24,11.03,19700900,10.66,19701000
1970-07-27,11.42,19700900,10.84,19701000
1970-07-28,11.38,19700900,10.8,19701000
1970-07-29,11.35,19700900,10.67,19701000
1970-07-30,11.27,19700900,10.6,19701000
1970-07-31,11.22,19700900,10.55,19701000
1970-08-03,11.38,19700900,10.66,19701000
1970-08-04,11.27,19700900,10.62,19701000
1970-08-05,11.19,19700900,10.58,19701000
1970-08-06,10.99,19700900,10.41,19701000
1970-08-07,10.96,19700900,10.41,19701000
1970-08-10,10.57,19700900,10.18,19701000
1970-08-11,10.68,19700900,10.28,19701000
1970-08-12,10.9,19700900,10.5,19701000
1970-08-13,10.72,19700900,10.34,19701000
1970-08-14,10.73,19700900,10.37,19701000
1970-08-17,11.18,19700900,10.85,19701000
1970-08-18,10.8,19700900,10.45,19701000
1970-08-19,10.82,19700900,10.5,19701000
1970-08-20,10.64,19700900,10.29,19701000
1970-08-21,10.62,19700900,10.33,19701000
1970-08-24,10.87,19700900,10.51,19701000
1970-08-25,10.63,19700900,10.38,19701000
1970-08-26,10.62,19700900,10.22,19701000
1970-08-27,10.63,19700900,10.25,19701000
1970-08-28,10.84,19700900,10.35,19701000
1970-08-31,10.84,19700900,10.32,19701000
1970-09-01,10.7,19700900,10.23,19701000
1970-09-02,10.85,19700900,10.3,19701000
1970-09-03,10.33,19701000,9.86,19701200
1970-09-04,10.64,19701000,10.05,19701200
1970-09-08,10.78,19701000,10.15,19701200
1970-09-09,10.69,19701000,10.03,19701200
1970-09-10,10.61,19701000,10.0,19701200
1970-09-11,10.57,19701000,10.07,19701200
1970-09-14,10.74,19701000,10.2,19701200
1970-09-15,11.07,19701000,10.34,19701200
1970-09-16,11.19,19701000,10.43,19701200
1970-09-17,10.98,19701000,10.22,19701200
1970-09-18,11.25,19701000,10.44,19701200
1970-09-21,11.46,19701000,10.63,19701200
1970-09-22,11.76,19701000,10.91,19701200
1970-09-23,11.95,19701000,11.04,19701200
1970-09-24,12.14,19701000,11.13,19701200
1970-09-25,12.36,19701000,11.35,19701200
1970-09-28,12.2,19701000,11.24,19701200
1970-09-29,11.93,19701000,11.04,19701200
1970-09-30,12.27,19701000,11.3,19701200
1970-10-01,12.25,19701000,11.34,19701200
1970-10-02,12.15,19701000,11.19,19701200
1970-10-05,12.59,19701000,11.7,19701200
1970-10-06,11.65,19701200,11.23,19710100
1970-10-07,11.94,19701200,11.5,19710100
1970-10-08,11.85,19701200,11.46,19710100
1970-10-09,12.03,19701200,11.67,19710100
1970-10-12,12.49,19701200,12.03,19710100
1970-10-13,12.42,19701200,11.95,19710100
1970-10-14,12.38,19701200,11.82,19710100
1970-10-15,12.27,19701200,11.76,19710100
1970-10-16,12.08,19701200,11.56,19710100
1970-10-19,12.28,19701200,11.71,19710100
1970-10-20,12.73,19701200,12.12,19710100
1970-10-21,12.84,19701200,12.22,19710100
1970-10-22,13.39,19701200,12.65,19710100
1970-10-23,13.41,19701200,12.73,19710100
1970-10-26,13.28,19701200,12.68,19710100
1970-10-27,13.77,19701200,13.09,19710100
1970-10-28,13.6,19701200,13.04,19710100
1970-10-29,13.36,19701200,12.78,19710100
1970-10-30,13.45,19701200,12.84,19710100
1970-11-02,13.38,19701200,12.74,19710100
1970-11-04,13.25,19701200,12.61,19710100
1970-11-05,13.54,19701200,12.9,19710100
1970-11-06,13.27,19701200,12.66,19710100
1970-11-09,13.04,19701200,12.47,19710100
1970-11-10,13.16,19701200,12.6,19710100
1970-11-11,13.12,19701200,12.61,19710100
1970-11-12,13.24,19701200,12.74,19710100
1970-11-13,13.43,19701200,12.96,19710100
1970-11-16,13.47,19701200,13.08,19710100
1970-11-17,13.43,19701200,13.03,19710100
1970-11-18,13.35,19701200,12.97,19710100
1970-11-19,13.26,19701200,12.86,19710100
1970-11-20,13.11,19701200,12.69,19710100
1970-11-23,13.08,19701200,12.69,19710100
1970-11-24,12.65,19701200,12.26,19710100
1970-11-25,12.54,19701200,12.22,19710100
1970-11-27,12.66,19701200,12.38,19710100
1970-11-30,12.48,19701200,12.2,19710100
1970-12-01,12.45,19701200,12.2,19710100
1970-12-02,12.18,19710100,11.83,19710300
1970-12-03,12.26,19710100,11.89,19710300
1970-12-04,12.49,19710100,12.1,19710300
1970-12-07,12.23,19710100,11.84,19710300
1970-12-08,11.89,19710100,11.52,19710300
1970-12-09,11.9,19710100,11.51,19710300
1970-12-10,11.75,19710100,11.4,19710300
1970-12-11,11.78,19710100,11.62,19710300
1970-12-14,11.74,19710100,11.57,19710300
1970-12-15,11.93,19710100,11.75,19710300
1970-12-16,11.85,19710100,11.71,19710300
1970-12-17,11.68,19710100,11.55,19710300
1970-12-18,12.04,19710100,11.91,19710300
1970-12-21,11.86,19710100,11.67,19710300
1970-12-22,11.71,19710100,11.52,19710300
1970-12-23,11.81,19710100,11.6,19710300
1970-12-24,11.82,19710100,11.67,19710300
1970-12-28,11.74,19710100,11.62,19710300
1970-12-29,11.85,19710100,11.72,19710300
1970-12-30,11.63,19710100,11.56,19710300
1970-12-31,11.62,19710100,11.53,19710300
1971-01-04,11.47,19710100,11.38,19710300
1971-01-05,11.65,19710100,11.52,19710300
1971-01-06,11.58,19710100,11.45,19710300
1971-01-07,11.65,19710100,11.57,19710300
1971-01-08,11.95,19710100,11.95,19710300
1971-01-11,12.1,19710100,12.05,19710300
1971-01-12,12.1,19710100,12.02,19710300
1971-01-13,12.18,19710100,12.14,19710300
1971-01-14,12.1,19710100,12.06,19710300
1971-01-15,12.47,19710100,12.44,19710300
1971-01-18,12.43,19710100,12.47,19710300
1971-01-19,12.5,19710100,12.48,19710300
1971-01-20,12.49,19710100,12.71,19710300
1971-01-21,,19710100,12.4,19710300
1971-01-22,,19710100,12.42,19710300
1971-01-25,,19710100,12.4,19710300
1971-01-26,,19710100,12.51,19710300
1971-01-27,,19710100,12.34,19710300
1971-01-28,,19710100,12.27,19710300
1971-01-29,,19710100,12.17,19710300
1971-02-01,,19710100,12.12,19710300
1971-02-02,12.3,19710300,12.27,19710500
1971-02-03,12.15,19710300,12.17,19710500
1971-02-04,11.97,19710300,11.93,19710500
1971-02-05,11.83,19710300,11.78,19710500
1971-02-08,11.57,19710300,11.55,19710500
1971-02-09,11.68,19710300,11.64,19710500
1971-02-10,11.67,19710300,11.66,19710500
1971-02-11,11.84,19710300,11.83,19710500
1971-02-12,11.82,19710300,11.79,19710500
1971-02-16,11.76,19710300,11.69,19710500
1971-02-17,11.87,19710300,11.87,19710500
1971-02-18,12.11,19710300,12.08,19710500
1971-02-19,12.14,19710300,12.11,19710500
1971-02-22,11.96,19710300,11.9,19710500
1971-02-23,12.09,19710300,12.03,19710500
1971-02-24,12.03,19710300,11.97,19710500
1971-02-25,12.18,19710300,12.09,19710500
1971-02-26,12.05,19710300,12.01,19710500
1971-03-01,11.88,19710300,11.79,19710500
1971-03-02,11.96,19710300,11.83,19710500
1971-03-03,11.89,19710300,11.78,19710500
1971-03-04,11.88,19710300,11.76,19710500
1971-03-05,11.9,19710300,11.83,19710500
1971-03-08,11.94,19710300,11.82,19710500
1971-03-09,12.0,19710300,11.89,19710500
1971-03-10,12.16,19710300,12.08,19710500
1971-03-11,12.07,19710300,11.95,19710500
1971-03-12,12.13,19710300,11.99,19710500
