index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2016-03-02,,20160900,139.84375,20160600
2016-03-03,,20160900,139.578125,20160600
2016-03-04,,20160900,139.859375,20160600
2016-03-06,,20160900,139.296875,20160600
2016-03-07,,20160900,139.25,20160600
2016-03-08,,20160900,139.375,20160600
2016-03-09,,20160900,139.671875,20160600
2016-03-10,,20160900,139.359375,20160600
2016-03-11,,20160900,138.625,20160600
2016-03-13,,20160900,138.234375,20160600
2016-03-14,,20160900,138.3125,20160600
2016-03-15,,20160900,138.515625,20160600
2016-03-16,,20160900,138.578125,20160600
2016-03-17,,20160900,139.421875,20160600
2016-03-18,,20160900,139.625,20160600
2016-03-20,,20160900,139.484375,20160600
2016-03-21,,20160900,139.5625,20160600
2016-03-22,,20160900,139.078125,20160600
2016-03-23,,20160900,138.75,20160600
2016-03-24,,20160900,139.453125,20160600
2016-03-27,,20160900,139.109375,20160600
2016-03-28,,20160900,139.21875,20160600
2016-03-29,,20160900,139.53125,20160600
2016-03-30,,20160900,140.4375,20160600
2016-03-31,,20160900,140.3125,20160600
2016-04-01,,20160900,140.625,20160600
2016-04-03,,20160900,141.015625,20160600
2016-04-04,,20160900,141.046875,20160600
2016-04-05,,20160900,141.234375,20160600
2016-04-06,,20160900,141.390625,20160600
2016-04-07,,20160900,141.171875,20160600
2016-04-08,,20160900,141.78125,20160600
2016-04-10,,20160900,141.5625,20160600
2016-04-11,,20160900,141.796875,20160600
2016-04-12,,20160900,141.296875,20160600
2016-04-13,,20160900,140.953125,20160600
2016-04-14,,20160900,141.15625,20160600
2016-04-15,,20160900,140.921875,20160600
2016-04-17,,20160900,141.625,20160600
2016-04-18,,20160900,141.625,20160600
2016-04-19,,20160900,141.015625,20160600
2016-04-20,,20160900,141.234375,20160600
2016-04-21,,20160900,140.203125,20160600
2016-04-22,,20160900,139.859375,20160600
2016-04-24,,20160900,139.671875,20160600
2016-04-25,,20160900,139.734375,20160600
2016-04-26,,20160900,139.671875,20160600
2016-04-27,,20160900,139.453125,20160600
2016-04-28,,20160900,140.546875,20160600
2016-04-29,,20160900,140.421875,20160600
2016-05-01,,20160900,140.453125,20160600
2016-05-02,,20160900,140.53125,20160600
2016-05-03,,20160900,140.21875,20160600
2016-05-04,,20160900,140.828125,20160600
2016-05-05,,20160900,140.890625,20160600
2016-05-06,,20160900,141.4375,20160600
2016-05-08,,20160900,140.984375,20160600
2016-05-09,,20160900,141.015625,20160600
2016-05-10,,20160900,141.25,20160600
2016-05-11,,20160900,141.421875,20160600
2016-05-12,,20160900,141.578125,20160600
2016-05-13,,20160900,141.625,20160600
2016-05-15,,20160900,141.96875,20160600
2016-05-16,,20160900,141.84375,20160600
2016-05-17,,20160900,141.1875,20160600
2016-05-18,,20160900,141.03125,20160600
2016-05-19,,20160900,139.953125,20160600
2016-05-20,,20160900,140.125,20160600
2016-05-22,,20160900,140.265625,20160600
2016-05-23,,20160900,140.34375,20160600
2016-05-24,,20160900,140.453125,20160600
2016-05-25,,20160900,139.8125,20160600
2016-05-26,,20160900,140.0,20160600
2016-05-27,,20160900,140.5,20160600
2016-05-29,,20160900,140.1875,20160600
2016-05-30,,20160900,140.109375,20160600
2016-05-31,,20160900,140.078125,20160600
2016-06-01,,20160900,140.46875,20160600
2016-06-02,140.96875,20161200,141.0,20160900
2016-06-03,,20161200,141.40625,20160900
2016-06-05,,20161200,142.734375,20160900
2016-06-06,,20161200,142.671875,20160900
2016-06-07,,20161200,142.4375,20160900
2016-06-08,,20161200,142.625,20160900
2016-06-09,,20161200,143.125,20160900
2016-06-10,,20161200,143.171875,20160900
2016-06-12,,20161200,143.84375,20160900
2016-06-13,,20161200,143.875,20160900
2016-06-14,,20161200,144.125,20160900
2016-06-15,,20161200,143.921875,20160900
2016-06-16,,20161200,144.84375,20160900
2016-06-17,,20161200,144.078125,20160900
2016-06-19,,20161200,143.421875,20160900
2016-06-20,,20161200,143.5625,20160900
2016-06-21,,20161200,143.296875,20160900
2016-06-22,,20161200,142.96875,20160900
2016-06-23,,20161200,142.953125,20160900
2016-06-24,,20161200,145.671875,20160900
2016-06-26,,20161200,145.4375,20160900
2016-06-27,,20161200,145.375,20160900
2016-06-28,,20161200,145.9375,20160900
2016-06-29,,20161200,145.921875,20160900
2016-06-30,,20161200,145.375,20160900
2016-07-01,,20161200,146.5,20160900
2016-07-03,,20161200,146.234375,20160900
2016-07-04,,20161200,146.0,20160900
2016-07-05,,20161200,146.75,20160900
2016-07-06,,20161200,147.453125,20160900
2016-07-07,,20161200,147.25,20160900
2016-07-08,,20161200,147.125,20160900
2016-07-10,,20161200,147.328125,20160900
2016-07-11,,20161200,147.125,20160900
2016-07-12,,20161200,146.03125,20160900
2016-07-13,,20161200,145.6875,20160900
2016-07-14,,20161200,145.46875,20160900
2016-07-15,,20161200,145.203125,20160900
2016-07-17,,20161200,144.515625,20160900
2016-07-18,,20161200,144.59375,20160900
2016-07-19,,20161200,144.90625,20160900
2016-07-20,,20161200,144.96875,20160900
2016-07-21,,20161200,144.390625,20160900
2016-07-22,,20161200,144.890625,20160900
2016-07-24,,20161200,144.6875,20160900
