index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1978-05-31,93.0938,19781200,93.6562,19780900
1978-06-01,93.2812,19781200,93.8438,19780900
1978-06-02,93.6875,19781200,94.2188,19780900
1978-06-05,93.8125,19781200,94.3125,19780900
1978-06-06,93.9375,19781200,94.4688,19780900
1978-06-07,94.0312,19781200,94.625,19780900
1978-06-08,93.875,19781200,94.4375,19780900
1978-06-09,93.75,19781200,94.3438,19780900
1978-06-12,93.7188,19781200,94.25,19780900
1978-06-13,93.7188,19781200,94.25,19780900
1978-06-14,93.9375,19781200,94.5312,19780900
1978-06-15,93.875,19781200,94.4688,19780900
1978-06-16,93.625,19781200,94.2188,19780900
1978-06-19,93.4688,19781200,94.0938,19780900
1978-06-20,93.1875,19781200,93.8125,19780900
1978-06-21,92.9062,19781200,93.5,19780900
1978-06-22,93.0312,19781200,93.625,19780900
1978-06-23,92.7188,19781200,93.3125,19780900
1978-06-26,92.5,19781200,93.0938,19780900
1978-06-27,92.7188,19781200,93.2812,19780900
1978-06-28,92.7812,19781200,93.4062,19780900
1978-06-29,92.75,19781200,93.2812,19780900
1978-06-30,92.5312,19781200,93.0,19780900
1978-07-03,92.625,19781200,93.0938,19780900
1978-07-05,92.4062,19781200,92.875,19780900
1978-07-06,92.5312,19781200,93.0,19780900
1978-07-07,92.0938,19781200,92.5625,19780900
1978-07-10,91.7812,19781200,92.1875,19780900
1978-07-11,91.9062,19781200,92.3438,19780900
1978-07-12,91.8125,19781200,92.1562,19780900
1978-07-13,91.7812,19781200,92.1562,19780900
1978-07-14,91.9688,19781200,92.375,19780900
1978-07-17,92.375,19781200,92.7188,19780900
1978-07-18,92.4062,19781200,92.75,19780900
1978-07-19,92.5938,19781200,92.9062,19780900
1978-07-20,92.25,19781200,92.5625,19780900
1978-07-21,92.1875,19781200,92.5312,19780900
1978-07-24,92.0,19781200,92.4062,19780900
1978-07-25,92.125,19781200,92.5625,19780900
1978-07-26,92.3125,19781200,92.7812,19780900
1978-07-27,92.9375,19781200,93.3125,19780900
1978-07-28,93.375,19781200,93.75,19780900
1978-07-31,93.1562,19781200,93.5625,19780900
1978-08-01,93.2812,19781200,93.75,19780900
1978-08-02,94.0312,19781200,94.5,19780900
1978-08-03,94.7812,19781200,95.25,19780900
1978-08-04,94.7812,19781200,95.3125,19780900
1978-08-07,95.0312,19781200,95.5625,19780900
1978-08-08,95.3125,19781200,95.7812,19780900
1978-08-09,95.25,19781200,95.7812,19780900
1978-08-10,94.5,19781200,95.0312,19780900
1978-08-11,94.4688,19781200,95.0,19780900
1978-08-14,93.9375,19781200,94.5,19780900
1978-08-15,94.125,19781200,94.625,19780900
1978-08-16,93.375,19781200,93.875,19780900
1978-08-17,93.75,19781200,94.3125,19780900
1978-08-18,94.0938,19781200,94.5938,19780900
1978-08-21,94.5312,19781200,95.0625,19780900
1978-08-22,94.4688,19781200,94.875,19780900
1978-08-23,95.2188,19781200,95.625,19780900
1978-08-24,95.0,19781200,95.4062,19780900
1978-08-25,95.4375,19781200,95.7812,19780900
1978-08-28,95.1875,19781200,95.5312,19780900
1978-08-29,94.7812,19790300,95.0938,19781200
1978-08-30,94.5625,19790300,94.875,19781200
1978-08-31,94.9375,19790300,95.2188,19781200
1978-09-01,94.875,19790300,95.1562,19781200
1978-09-05,95.4688,19790300,95.7188,19781200
1978-09-06,95.5312,19790300,95.7188,19781200
1978-09-07,95.4062,19790300,95.625,19781200
1978-09-08,95.6562,19790300,95.7812,19781200
1978-09-11,95.9375,19790300,96.0625,19781200
1978-09-12,96.0,19790300,96.125,19781200
1978-09-13,95.7812,19790300,95.9062,19781200
1978-09-14,95.75,19790300,95.8438,19781200
1978-09-15,95.625,19790300,95.6875,19781200
1978-09-18,95.3125,19790300,95.3125,19781200
1978-09-19,95.0938,19790300,95.0312,19781200
1978-09-20,94.3438,19790300,94.375,19781200
1978-09-21,94.125,19790300,94.1875,19781200
1978-09-22,93.5938,19790300,93.6875,19781200
1978-09-25,93.5938,19790300,93.5938,19781200
1978-09-26,93.9375,19790300,93.9375,19781200
1978-09-27,93.5,19790300,93.5,19781200
1978-09-28,93.5938,19790300,93.5938,19781200
1978-09-29,93.3125,19790300,93.3125,19781200
1978-10-02,93.0625,19790300,93.0625,19781200
1978-10-03,93.3438,19790300,93.3438,19781200
1978-10-04,93.0625,19790300,93.0625,19781200
1978-10-05,93.0938,19790300,93.0938,19781200
1978-10-06,93.5312,19790300,93.5312,19781200
1978-10-09,93.5938,19790300,93.5625,19781200
1978-10-10,93.875,19790300,93.6875,19781200
1978-10-11,93.8125,19790300,93.625,19781200
1978-10-12,93.9375,19790300,93.7812,19781200
1978-10-13,93.6562,19790300,93.5312,19781200
1978-10-16,93.25,19790300,93.0938,19781200
1978-10-17,93.2188,19790300,93.0625,19781200
1978-10-18,92.7812,19790300,92.6875,19781200
1978-10-19,92.5938,19790300,92.5312,19781200
1978-10-20,92.3125,19790300,92.3438,19781200
1978-10-23,92.8125,19790300,92.8125,19781200
