index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2013-03-11,,20130900,97.828125,20130600
2013-03-12,,20130900,98.140625,20130600
2013-03-13,,20130900,98.125,20130600
2013-03-14,,20130900,98.0625,20130600
2013-03-15,,20130900,98.359375,20130600
2013-03-18,,20130900,98.609375,20130600
2013-03-19,,20130900,98.90625,20130600
2013-03-20,,20130900,98.484375,20130600
2013-03-21,,20130900,98.765625,20130600
2013-03-22,,20130900,98.828125,20130600
2013-03-25,,20130900,98.875,20130600
2013-03-26,,20130900,98.625,20130600
2013-03-27,,20130900,99.28125,20130600
2013-03-28,,20130900,99.171875,20130600
2013-04-01,,20130900,99.375,20130600
2013-04-02,,20130900,99.171875,20130600
2013-04-03,,20130900,99.59375,20130600
2013-04-04,,20130900,100.0625,20130600
2013-04-05,,20130900,100.5,20130600
2013-04-08,,20130900,100.25,20130600
2013-04-09,,20130900,100.125,20130600
2013-04-10,,20130900,99.671875,20130600
2013-04-11,,20130900,99.828125,20130600
2013-04-12,,20130900,100.421875,20130600
2013-04-15,,20130900,100.78125,20130600
2013-04-16,,20130900,100.5,20130600
2013-04-17,,20130900,100.765625,20130600
2013-04-18,,20130900,100.921875,20130600
2013-04-19,,20130900,100.875,20130600
2013-04-22,,20130900,100.796875,20130600
2013-04-23,,20130900,100.5625,20130600
2013-04-24,,20130900,100.78125,20130600
2013-04-25,,20130900,100.640625,20130600
2013-04-26,,20130900,101.03125,20130600
2013-04-29,,20130900,101.078125,20130600
2013-04-30,,20130900,101.015625,20130600
2013-05-01,,20130900,101.34375,20130600
2013-05-02,,20130900,101.46875,20130600
2013-05-03,,20130900,100.359375,20130600
2013-05-06,,20130900,100.125,20130600
2013-05-07,,20130900,100.0,20130600
2013-05-08,,20130900,100.09375,20130600
2013-05-09,,20130900,100.046875,20130600
2013-05-10,,20130900,99.34375,20130600
2013-05-13,,20130900,99.171875,20130600
2013-05-14,,20130900,98.59375,20130600
2013-05-15,,20130900,99.03125,20130600
2013-05-16,,20130900,99.71875,20130600
2013-05-17,,20130900,98.96875,20130600
2013-05-20,,20130900,98.84375,20130600
2013-05-21,,20130900,99.25,20130600
2013-05-22,99.75,20130900,98.21875,20130600
2013-05-23,,20130900,98.328125,20130600
2013-05-24,,20130900,98.296875,20130600
2013-05-28,98.75,20130900,96.703125,20130600
2013-05-29,98.640625,20130900,97.25,20130600
2013-05-30,98.625,20130900,97.1875,20130600
2013-05-31,98.40625,20130900,97.015625,20130600
2013-06-03,98.390625,20130900,97.0,20130600
2013-06-04,98.40625,20130900,96.703125,20130600
2013-06-05,98.6875,20130900,97.21875,20130600
2013-06-06,98.90625,20130900,97.515625,20130600
2013-06-07,97.921875,20130900,96.5,20130600
2013-06-10,97.484375,20130900,96.0625,20130600
2013-06-11,97.109375,20131200,97.953125,20130900
2013-06-12,,20131200,97.484375,20130900
2013-06-13,,20131200,98.4375,20130900
2013-06-14,,20131200,98.640625,20130900
2013-06-17,,20131200,98.234375,20130900
2013-06-18,,20131200,98.09375,20130900
2013-06-19,,20131200,96.6875,20130900
2013-06-20,,20131200,95.578125,20130900
2013-06-21,,20131200,94.46875,20130900
2013-06-24,,20131200,94.3125,20130900
2013-06-25,,20131200,94.125,20130900
2013-06-26,,20131200,94.515625,20130900
2013-06-27,,20131200,95.3125,20130900
2013-06-28,,20131200,95.078125,20130900
2013-07-01,,20131200,95.1875,20130900
2013-07-02,,20131200,95.203125,20130900
2013-07-03,,20131200,93.8125,20130900
2013-07-05,,20131200,92.8125,20130900
2013-07-08,,20131200,93.453125,20130900
2013-07-09,,20131200,93.75,20130900
2013-07-10,,20131200,93.65625,20130900
2013-07-11,,20131200,94.46875,20130900
2013-07-12,,20131200,94.15625,20130900
2013-07-15,,20131200,94.515625,20130900
2013-07-16,,20131200,94.84375,20130900
2013-07-17,,20131200,95.4375,20130900
2013-07-18,,20131200,94.953125,20130900
2013-07-19,,20131200,95.375,20130900
2013-07-22,,20131200,95.359375,20130900
2013-07-23,,20131200,95.234375,20130900
2013-07-24,,20131200,94.578125,20130900
2013-07-25,,20131200,94.65625,20130900
2013-07-26,,20131200,94.859375,20130900
2013-07-29,,20131200,94.65625,20130900
2013-07-30,,20131200,94.578125,20130900
2013-07-31,,20131200,94.828125,20130900
2013-08-01,,20131200,93.6875,20130900
2013-08-02,,20131200,94.734375,20130900
2013-08-05,,20131200,94.421875,20130900
2013-08-06,,20131200,94.328125,20130900
2013-08-07,,20131200,94.75,20130900
2013-08-08,,20131200,94.890625,20130900
2013-08-09,,20131200,95.078125,20130900
2013-08-12,,20131200,94.71875,20130900
2013-08-13,,20131200,93.75,20130900
2013-08-14,,20131200,93.921875,20130900
2013-08-15,,20131200,93.546875,20130900
2013-08-16,,20131200,92.90625,20130900
2013-08-19,93.609375,20131200,92.375,20130900
2013-08-20,94.140625,20131200,92.90625,20130900
2013-08-21,94.109375,20131200,92.140625,20130900
2013-08-22,93.359375,20131200,92.140625,20130900
2013-08-23,94.03125,20131200,92.921875,20130900
2013-08-26,94.515625,20131200,93.25,20130900
2013-08-27,95.21875,20131200,93.921875,20130900
2013-08-28,94.71875,20131200,93.296875,20130900
2013-08-29,94.890625,20131200,93.53125,20130900
2013-08-30,94.859375,20131200,93.5,20130900
2013-09-03,94.0625,20131200,92.484375,20130900
2013-09-04,93.75,20131200,92.75,20130900
2013-09-05,92.84375,20131200,91.5625,20130900
2013-09-06,93.578125,20131200,92.28125,20130900
2013-09-09,93.609375,20131200,92.5,20130900
2013-09-10,93.3125,20131200,92.03125,20130900
2013-09-11,93.71875,20140300,93.6875,20131200
2013-09-12,,20140300,93.953125,20131200
2013-09-13,,20140300,93.9375,20131200
2013-09-16,,20140300,94.234375,20131200
2013-09-17,,20140300,94.5,20131200
2013-09-18,,20140300,95.75,20131200
2013-09-19,,20140300,95.390625,20131200
2013-09-20,,20140300,95.515625,20131200
2013-09-23,,20140300,95.90625,20131200
2013-09-24,,20140300,96.328125,20131200
2013-09-25,,20140300,96.6875,20131200
2013-09-26,,20140300,96.46875,20131200
2013-09-27,,20140300,96.640625,20131200
2013-09-30,,20140300,96.75,20131200
2013-10-01,,20140300,96.390625,20131200
2013-10-02,,20140300,96.625,20131200
2013-10-03,,20140300,96.765625,20131200
2013-10-04,,20140300,96.390625,20131200
2013-10-07,102.40625,20140300,96.609375,20131200
2013-10-08,,20140300,96.71875,20131200
2013-10-09,,20140300,96.546875,20131200
2013-10-10,,20140300,96.359375,20131200
2013-10-11,,20140300,96.421875,20131200
2013-10-15,,20140300,96.03125,20131200
2013-10-16,,20140300,96.5625,20131200
2013-10-17,,20140300,97.265625,20131200
2013-10-18,,20140300,97.28125,20131200
2013-10-21,,20140300,97.1875,20131200
2013-10-22,,20140300,97.984375,20131200
2013-10-23,,20140300,98.09375,20131200
2013-10-24,,20140300,97.9375,20131200
2013-10-25,,20140300,98.015625,20131200
2013-10-28,,20140300,97.90625,20131200
2013-10-29,,20140300,98.0625,20131200
2013-10-30,,20140300,97.875,20131200
2013-10-31,,20140300,97.765625,20131200
2013-11-01,,20140300,97.09375,20131200
2013-11-04,,20140300,97.296875,20131200
2013-11-05,,20140300,96.734375,20131200
2013-11-06,,20140300,97.078125,20131200
2013-11-07,103.0625,20140300,97.484375,20131200
2013-11-08,101.9375,20140300,96.171875,20131200
2013-11-11,,20140300,96.171875,20131200
2013-11-12,,20140300,96.015625,20131200
2013-11-13,,20140300,96.484375,20131200
2013-11-14,102.6875,20140300,97.140625,20131200
2013-11-15,103.015625,20140300,97.234375,20131200
2013-11-18,103.25,20140300,97.65625,20131200
2013-11-19,,20140300,97.359375,20131200
2013-11-20,102.75,20140300,96.53125,20131200
2013-11-21,102.515625,20140300,96.71875,20131200
2013-11-22,102.609375,20140300,96.828125,20131200
2013-11-25,102.75,20140300,96.96875,20131200
2013-11-26,102.984375,20140300,97.234375,20131200
2013-11-27,102.65625,20140300,96.90625,20131200
2013-11-29,,20140300,96.78125,20131200
2013-12-02,102.0,20140300,96.34375,20131200
2013-12-03,102.3125,20140300,96.421875,20131200
2013-12-04,101.796875,20140300,96.140625,20131200
2013-12-05,101.625,20140300,95.890625,20131200
2013-12-06,101.96875,20140300,95.9375,20131200
2013-12-09,101.9375,20140300,96.21875,20131200
2013-12-10,102.359375,20140300,96.5625,20131200
2013-12-11,102.25,20140600,101.875,20140300
2013-12-12,,20140600,101.75,20140300
2013-12-13,,20140600,101.796875,20140300
2013-12-16,,20140600,101.75,20140300
2013-12-17,,20140600,102.21875,20140300
2013-12-18,,20140600,101.875,20140300
2013-12-19,,20140600,101.28125,20140300
2013-12-20,,20140600,101.671875,20140300
2013-12-23,,20140600,101.3125,20140300
2013-12-24,,20140600,100.890625,20140300
2013-12-26,,20140600,100.828125,20140300
2013-12-27,,20140600,100.765625,20140300
2013-12-30,,20140600,101.09375,20140300
2013-12-31,,20140600,100.5,20140300
2014-01-02,,20140600,100.875,20140300
2014-01-03,,20140600,100.828125,20140300
2014-01-06,,20140600,101.1875,20140300
2014-01-07,,20140600,101.328125,20140300
2014-01-08,,20140600,100.859375,20140300
2014-01-09,,20140600,101.0625,20140300
2014-01-10,,20140600,101.875,20140300
2014-01-13,,20140600,102.328125,20140300
2014-01-14,,20140600,101.890625,20140300
2014-01-15,,20140600,101.625,20140300
2014-01-16,,20140600,102.015625,20140300
2014-01-17,,20140600,102.21875,20140300
2014-01-21,,20140600,102.265625,20140300
2014-01-22,,20140600,102.140625,20140300
2014-01-23,,20140600,102.640625,20140300
2014-01-24,,20140600,103.140625,20140300
2014-01-26,,20140600,103.15625,20140300
2014-01-27,,20140600,102.75,20140300
2014-01-28,,20140600,102.796875,20140300
2014-01-29,,20140600,103.359375,20140300
2014-01-30,,20140600,103.40625,20140300
2014-01-31,,20140600,103.71875,20140300
2014-02-03,,20140600,104.328125,20140300
2014-02-04,,20140600,103.875,20140300
2014-02-05,,20140600,103.421875,20140300
2014-02-06,,20140600,103.34375,20140300
2014-02-07,,20140600,103.578125,20140300
2014-02-10,,20140600,103.765625,20140300
2014-02-11,,20140600,103.28125,20140300
2014-02-12,,20140600,103.078125,20140300
2014-02-13,,20140600,103.484375,20140300
2014-02-14,,20140600,103.28125,20140300
2014-02-18,,20140600,103.578125,20140300
2014-02-19,,20140600,103.390625,20140300
2014-02-20,,20140600,103.328125,20140300
2014-02-21,,20140600,103.53125,20140300
2014-02-24,,20140600,103.484375,20140300
2014-02-25,,20140600,103.953125,20140300
2014-02-26,100.796875,20140600,104.265625,20140300
2014-02-27,101.125,20140600,104.375,20140300
2014-02-28,100.9375,20140600,104.234375,20140300
2014-03-02,,20140600,104.546875,20140300
2014-03-03,101.390625,20140600,104.625,20140300
2014-03-04,100.765625,20140600,104.0,20140300
2014-03-05,100.8125,20140600,103.84375,20140300
2014-03-06,100.3125,20140600,103.59375,20140300
2014-03-07,99.84375,20140600,103.140625,20140300
2014-03-10,100.03125,20140600,103.28125,20140300
2014-03-11,100.015625,20140900,100.1875,20140600
2014-03-12,,20140900,100.546875,20140600
2014-03-13,,20140900,101.25,20140600
2014-03-14,,20140900,101.21875,20140600
2014-03-17,,20140900,100.734375,20140600
2014-03-18,,20140900,100.953125,20140600
2014-03-19,,20140900,100.046875,20140600
2014-03-20,,20140900,100.015625,20140600
2014-03-21,,20140900,100.34375,20140600
2014-03-24,,20140900,100.46875,20140600
2014-03-25,,20140900,100.359375,20140600
2014-03-26,,20140900,100.859375,20140600
2014-03-27,,20140900,100.90625,20140600
2014-03-28,,20140900,100.609375,20140600
2014-03-31,,20140900,100.59375,20140600
2014-04-01,,20140900,100.28125,20140600
2014-04-02,,20140900,99.890625,20140600
2014-04-03,,20140900,99.984375,20140600
2014-04-04,,20140900,100.625,20140600
2014-04-07,,20140900,100.9375,20140600
