index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2020-12-10,,20210600,100.07,20210300
2020-12-11,,20210600,100.2,20210300
2020-12-14,,20210600,100.1725,20210300
2020-12-15,,20210600,100.0875,20210300
2020-12-16,,20210600,100.1,20210300
2020-12-17,,20210600,100.0775,20210300
2020-12-18,,20210600,100.06,20210300
2020-12-21,,20210600,100.0475,20210300
2020-12-28,,20210600,100.07,20210300
2020-12-29,,20210600,100.075,20210300
2020-12-30,,20210600,100.1275,20210300
2020-12-31,,20210600,100.1875,20210300
2021-01-05,,20210600,100.12,20210300
2021-01-06,,20210600,99.86,20210300
2021-01-07,,20210600,99.705,20210300
2021-01-08,,20210600,99.54,20210300
2021-01-11,,20210600,99.4375,20210300
2021-01-12,,20210600,99.405,20210300
2021-01-13,,20210600,99.58,20210300
2021-01-14,,20210600,99.545,20210300
2021-01-15,,20210600,99.68,20210300
2021-01-19,,20210600,99.7175,20210300
2021-01-20,,20210600,99.7025,20210300
2021-01-21,,20210600,99.6775,20210300
2021-01-22,,20210600,99.6975,20210300
2021-01-25,,20210600,99.805,20210300
2021-01-26,,20210600,99.785,20210300
2021-01-27,,20210600,99.845,20210300
2021-01-28,,20210600,99.7225,20210300
2021-01-29,,20210600,99.6425,20210300
2021-02-01,,20210600,99.7025,20210300
2021-02-02,,20210600,99.5875,20210300
2021-02-03,,20210600,99.4825,20210300
2021-02-04,,20210600,99.4575,20210300
2021-02-05,,20210600,99.4125,20210300
2021-02-08,,20210600,99.37,20210300
2021-02-09,,20210600,99.425,20210300
2021-02-10,,20210600,99.485,20210300
2021-02-11,,20210600,99.4475,20210300
2021-02-12,,20210600,99.32,20210300
2021-02-16,,20210600,98.9425,20210300
2021-02-17,,20210600,98.93,20210300
2021-02-18,,20210600,99.0125,20210300
2021-02-19,,20210600,98.815,20210300
2021-02-22,,20210600,98.7425,20210300
2021-02-23,,20210600,98.8275,20210300
2021-02-24,,20210600,98.735,20210300
2021-02-25,,20210600,98.07,20210300
2021-02-26,,20210600,98.075,20210300
2021-03-01,,20210600,98.28,20210300
2021-03-02,,20210600,98.45,20210300
2021-03-03,,20210600,98.205,20210300
2021-03-04,,20210600,97.98,20210300
2021-03-05,,20210600,97.905,20210300
2021-03-08,97.34,20210600,97.815,20210300
2021-03-10,,20210900,97.6525,20210600
2021-03-11,,20210900,97.68,20210600
2021-03-12,,20210900,97.37,20210600
2021-03-15,,20210900,97.455,20210600
2021-03-16,,20210900,97.4875,20210600
2021-03-17,,20210900,97.575,20210600
2021-03-18,,20210900,97.29,20210600
2021-03-19,,20210900,97.1275,20210600
2021-03-22,,20210900,97.24,20210600
2021-03-23,,20210900,97.3975,20210600
2021-03-24,,20210900,97.44,20210600
2021-03-25,,20210900,97.455,20210600
2021-03-26,,20210900,97.295,20210600
2021-03-29,,20210900,97.085,20210600
2021-03-30,,20210900,96.9675,20210600
2021-03-31,,20210900,96.85,20210600
2021-04-01,,20210900,97.0075,20210600
2021-04-05,,20210900,96.865,20210600
2021-04-06,,20210900,97.155,20210600
2021-04-07,,20210900,97.16,20210600
2021-04-08,,20210900,97.36,20210600
2021-04-09,,20210900,97.285,20210600
2021-04-13,,20210900,97.42,20210600
2021-04-14,,20210900,97.48,20210600
2021-04-15,,20210900,97.755,20210600
2021-04-16,,20210900,97.65,20210600
2021-04-19,,20210900,97.705,20210600
2021-04-20,,20210900,97.795,20210600
2021-04-21,,20210900,97.785,20210600
2021-04-22,,20210900,97.805,20210600
2021-04-23,,20210900,97.685,20210600
2021-04-26,,20210900,97.65,20210600
2021-04-27,,20210900,97.49,20210600
2021-04-28,,20210900,97.505,20210600
2021-04-29,,20210900,97.47,20210600
2021-04-30,,20210900,97.565,20210600
2021-05-03,,20210900,97.67,20210600
2021-05-04,,20210900,97.73,20210600
2021-05-05,,20210900,97.74,20210600
2021-05-06,,20210900,97.815,20210600
2021-05-07,,20210900,97.97,20210600
2021-05-11,,20210900,97.915,20210600
2021-05-12,,20210900,97.625,20210600
2021-05-13,,20210900,97.82,20210600
2021-05-14,,20210900,97.82,20210600
2021-05-17,,20210900,97.775,20210600
2021-05-18,,20210900,97.82,20210600
2021-05-19,97.2,20210900,97.665,20210600
2021-05-20,,20210900,97.86,20210600
2021-05-21,,20210900,97.86,20210600
2021-05-24,97.455,20210900,97.925,20210600
2021-05-25,97.575,20210900,98.04,20210600
2021-06-04,,20211200,97.68,20210900
2021-06-07,,20211200,97.66,20210900
2021-06-08,,20211200,97.825,20210900
2021-06-09,,20211200,97.965,20210900
2021-06-11,,20211200,98.025,20210900
2021-06-14,,20211200,97.83,20210900
2021-06-15,,20211200,97.77,20210900
2021-06-16,,20211200,97.26,20210900
2021-06-17,,20211200,97.335,20210900
2021-06-18,,20211200,97.455,20210900
2021-06-21,,20211200,97.445,20210900
2021-06-22,,20211200,97.495,20210900
2021-06-23,,20211200,97.34,20210900
2021-06-25,,20211200,97.235,20210900
2021-06-28,,20211200,97.32,20210900
2021-06-29,,20211200,97.325,20210900
2021-07-01,,20211200,97.32,20210900
2021-07-02,,20211200,97.49,20210900
2021-07-06,,20211200,97.795,20210900
2021-07-07,,20211200,97.905,20210900
2021-07-08,,20211200,98.085,20210900
2021-07-12,,20211200,97.85,20210900
2021-07-13,,20211200,97.63,20210900
2021-07-14,,20211200,97.76,20210900
2021-07-15,,20211200,97.82,20210900
2021-07-19,,20211200,98.56,20210900
2021-07-20,,20211200,98.505,20210900
2021-07-21,,20211200,98.23,20210900
2021-07-22,,20211200,98.315,20210900
2021-07-23,,20211200,98.27,20210900
2021-07-27,,20211200,98.38,20210900
2021-07-28,,20211200,98.305,20210900
2021-07-29,,20211200,98.225,20210900
2021-07-30,,20211200,98.32,20210900
