index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2013-01-02,19.75,20130200,20.1,20130300
2013-01-03,19.6,20130200,20.2,20130300
2013-01-04,19.35,20130200,20.0,20130300
2013-01-07,19.4,20130200,20.05,20130300
2013-01-08,19.35,20130200,20.2,20130300
2013-01-09,18.9,20130200,19.85,20130300
2013-01-10,18.9,20130200,19.8,20130300
2013-01-11,18.45,20130200,19.45,20130300
2013-01-14,18.0,20130200,19.0,20130300
2013-01-15,17.95,20130200,18.95,20130300
2013-01-16,17.65,20130200,18.65,20130300
2013-01-17,17.35,20130200,18.4,20130300
2013-01-18,17.65,20130200,18.5,20130300
2013-01-21,16.8,20130200,17.85,20130300
2013-01-22,17.1,20130200,17.9,20130300
2013-01-23,17.65,20130300,19.05,20130400
2013-01-24,17.35,20130300,18.8,20130400
2013-01-25,17.15,20130300,18.4,20130400
2013-01-28,16.95,20130300,18.3,20130400
2013-01-29,16.75,20130300,18.25,20130400
2013-01-30,17.3,20130300,18.55,20130400
2013-01-31,17.8,20130300,19.0,20130400
2013-02-01,17.55,20130300,18.8,20130400
2013-02-04,19.5,20130300,20.3,20130400
2013-02-05,19.25,20130300,20.1,20130400
2013-02-06,19.75,20130300,20.6,20130400
2013-02-07,20.0,20130300,20.7,20130400
2013-02-08,19.0,20130300,19.8,20130400
2013-02-11,18.95,20130300,19.65,20130400
2013-02-12,18.75,20130300,19.55,20130400
2013-02-13,18.7,20130300,19.7,20130400
2013-02-14,18.6,20130300,19.9,20130400
2013-02-15,18.9,20130300,19.85,20130400
2013-02-18,18.95,20130300,19.85,20130400
2013-02-19,18.35,20130300,19.25,20130400
2013-02-20,18.95,20130300,19.85,20130400
2013-02-21,19.85,20130300,20.55,20130400
2013-02-22,19.7,20130400,20.3,20130500
2013-02-25,19.6,20130400,20.25,20130500
2013-02-26,22.35,20130400,22.6,20130500
2013-02-27,21.2,20130400,21.5,20130500
2013-02-28,20.7,20130400,21.25,20130500
2013-03-01,21.55,20130400,21.9,20130500
2013-03-04,21.3,20130400,21.65,20130500
2013-03-05,20.25,20130400,20.85,20130500
2013-03-06,20.35,20130400,20.8,20130500
2013-03-07,19.85,20130400,20.4,20130500
